id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
11865,Super Smash Bros. Brawl,Wii,1388,Item only,Normal wear,,,,0,1,2021-11-21
15153,Centipede,Atari 2600,899,Item only,Normal wear,,,,0,1,2021-11-21
3980,Advance Wars Dual Strike,Nintendo DS,4750,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
31171,Fatal Fury: First Contact,Neo Geo Pocket Color,1999,Item only,Normal wear,,,,0,1,2021-11-21
15207,Donkey Kong,Atari 2600,500,Item only,Normal wear,,,,0,1,2021-11-21
8970,Final Fantasy,NES,2561,Item only,Normal wear,,,,0,1,2021-11-21
2462,Pokemon Ruby,GameBoy Advance,6797,Item only,Torn label,,,,0,1,2022-08-12
35098,Middle Earth: Shadow of Mordor,Playstation 4,466,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12468,Teenage Mutant Ninja Turtles II,NES,1399,Item only,Normal wear,,,,1500,1,2022-08-30
18313,Mighty Morphin Power Rangers,Sega Game Gear,705,Item only,Normal wear,,,,0,1,2022-11-04
37294,Zelda Breath of the Wild,Nintendo Switch,3550,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
5356,Jak and Daxter The Precursor Legacy,Playstation 2,969,Item and Box only,Normal wear,,,,0,1,2021-11-21
9691,Samurai Shodown,Sega Genesis,1397,Item only,Normal wear,,,,1000,1,2022-11-12
15138,Breakout,Atari 2600,621,Item only,Normal wear,,,,0,1,2021-11-21
6951,Illusion of Gaia,Super Nintendo,2997,Item only,Normal wear,,,,0,1,2021-11-21
4199684,EverDrive N8,NES,15643,Item only,Normal wear,,,,0,1,2022-12-09
31175,Dive Alert: Matt's Version,Neo Geo Pocket Color,3745,Item only,Normal wear,,,,0,1,2021-11-21
15378,Pac-Man,Atari 2600,889,Item only,Normal wear,,,,0,1,2021-11-21
35029,Destiny,Playstation 4,449,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
